symbol,name,sector,active,source,source_date
GUBRF,Gubre Fabrikalari,,true,Borsa Istanbul quarterly snapshot,2026-06-19
HALKB,Halkbank,,true,Borsa Istanbul quarterly snapshot,2026-06-19
HEKTS,Hektas,,true,Borsa Istanbul quarterly snapshot,2026-06-19
IEYHO,Isiklar Enerji Yapi Holding,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ISCTR,Is Bankasi C,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ISMEN,Is Yatirim,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KARSN,Karsan,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KCAER,Kocaer Celik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KCHOL,Koc Holding,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KLSER,Kaleseramik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KONTR,Kontrolmatik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KONYA,Konya Cimento,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KORDS,Kordsa,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KOZAA,Koza Anadolu Metal,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KOZAL,Koza Altin,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KRDMD,Kardemir D,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KTLEV,Katilimevim,,true,Borsa Istanbul quarterly snapshot,2026-06-19
LMKDC,Limak Dogu Anadolu Cimento,,true,Borsa Istanbul quarterly snapshot,2026-06-19
MAVI,Mavi Giyim,,true,Borsa Istanbul quarterly snapshot,2026-06-19
MGROS,Migros,,true,Borsa Istanbul quarterly snapshot,2026-06-19
MIATK,Mia Teknoloji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
MPARK,MLP Saglik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
OBAMS,Oba Makarnacilik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ODAS,Odas Elektrik,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ODINE,Odine Teknoloji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
OTKAR,Otokar,,true,Borsa Istanbul quarterly snapshot,2026-06-19
OYAKC,Oyak Cimento,,true,Borsa Istanbul quarterly snapshot,2026-06-19
PASEU,Pasifik Eurasia,,true,Borsa Istanbul quarterly snapshot,2026-06-19
PETKM,Petkim,,true,Borsa Istanbul quarterly snapshot,2026-06-19
PGSUS,Pegasus,,true,Borsa Istanbul quarterly snapshot,2026-06-19
REEDR,Reeder Teknoloji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
SAHOL,Sabanci Holding,,true,Borsa Istanbul quarterly snapshot,2026-06-19
SASA,Sasa Polyester,,true,Borsa Istanbul quarterly snapshot,2026-06-19
SISE,Sise Cam,,true,Borsa Istanbul quarterly snapshot,2026-06-19
SKBNK,Sekerbank,,true,Borsa Istanbul quarterly snapshot,2026-06-19
SMRTG,Smart Gunes Enerjisi,,true,Borsa Istanbul quarterly snapshot,2026-06-19
SOKM,Sok Marketler,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TABGD,TAB Gida,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TAVHL,TAV Havalimanlari,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TCELL,Turkcell,,true,Borsa Istanbul quarterly snapshot,2026-06-19
THYAO,Turk Hava Yollari,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TKFEN,Tekfen Holding,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TOASO,Tofas,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TSKB,TSKB,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TTKOM,Turk Telekom,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TTRAK,Turk Traktor,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TUPRS,Tupras,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TUREX,Tureks Turizm,,true,Borsa Istanbul quarterly snapshot,2026-06-19
TURSG,Turkiye Sigorta,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ULKER,Ulker Biskuvi,,true,Borsa Istanbul quarterly snapshot,2026-06-19
VAKBN,Vakifbank,,true,Borsa Istanbul quarterly snapshot,2026-06-19
VESBE,Vestel Beyaz Esya,,true,Borsa Istanbul quarterly snapshot,2026-06-19
VESTL,Vestel,,true,Borsa Istanbul quarterly snapshot,2026-06-19
YEOTK,YEO Teknoloji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
YKBNK,Yapi Kredi,,true,Borsa Istanbul quarterly snapshot,2026-06-19
ZOREN,Zorlu Enerji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
AGROT,Agrotech,,true,Borsa Istanbul quarterly snapshot,2026-06-19
BERA,Bera Holding,,true,Borsa Istanbul quarterly snapshot,2026-06-19
BINHO,1000 Yatirimlar Holding,,true,Borsa Istanbul quarterly snapshot,2026-06-19
EUPWR,Europower Enerji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
GLRMK,Gulermak Agir Sanayi,,true,Borsa Istanbul quarterly snapshot,2026-06-19
IZENR,Izdemir Enerji,,true,Borsa Istanbul quarterly snapshot,2026-06-19
KAYSE,Kayseri Seker,,true,Borsa Istanbul quarterly snapshot,2026-06-19
SDTTR,SDT Uzay ve Savunma,,true,Borsa Istanbul quarterly snapshot,2026-06-19
